subset,suite,task_id,variant,recommended_status,flag_reasons,rationale
csb_org,csb_org_incident,ccx-incident-034,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_incident,ccx-incident-034,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_incident,ccx-incident-113,baseline,promotable,v2:extreme_time;v2:high_variance,has_high_quality_runs_despite_flag
csb_org,csb_org_incident,ccx-incident-113,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_incident,ccx-incident-125,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_incident,ccx-incident-131,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_incident,ccx-incident-149,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_incident,ccx-incident-149,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_incident,ccx-incident-150,baseline,unusable,v2:high_variance,high_variance_with_low_nonzero_rate
csb_org,csb_org_incident,ccx-incident-150,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_migration,ccx-migration-022,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_migration,ccx-migration-022,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_migration,ccx-migration-027,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_migration,ccx-migration-027,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_migration,ccx-migration-114,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_migration,ccx-migration-114,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_migration,ccx-migration-200,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_migration,ccx-migration-204,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_migration,ccx-migration-204,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_onboarding,ccx-onboard-041,baseline,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-041,mcp,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-042,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_onboarding,ccx-onboard-042,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_org,csb_org_onboarding,ccx-onboard-044,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-134,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-136,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_org,csb_org_onboarding,ccx-onboard-search-201,baseline,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-201,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-202,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-202,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-203,baseline,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-203,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-204,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-204,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-205,baseline,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-205,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-206,baseline,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-206,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-207,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-207,mcp,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-208,baseline,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-208,mcp,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_onboarding,ccx-onboard-search-209,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-211,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-212,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-212,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-213,baseline,unusable,v2:high_variance,high_variance_with_low_nonzero_rate
csb_org,csb_org_onboarding,ccx-onboard-search-213,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-214,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_onboarding,ccx-onboard-search-214,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_org,ccx-agentic-122,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_org,ccx-agentic-127,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_platform,ccx-platform-094,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_security,ccx-vuln-remed-011,baseline,unusable,score_anomaly:empty_oracle;v2:all_zero,empty_oracle_vacuous_scoring_risk;all_zero_reward_pattern
csb_org,csb_org_security,ccx-vuln-remed-011,mcp,promotable,score_anomaly:empty_oracle;v2:all_perfect,empty_oracle_vacuous_scoring_risk;all_perfect_consistent_success
csb_org,csb_org_security,ccx-vuln-remed-012,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_security,ccx-vuln-remed-014,baseline,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_security,ccx-vuln-remed-014,mcp,unusable,score_anomaly:empty_oracle,empty_oracle_vacuous_scoring_risk
csb_org,csb_org_security,ccx-vuln-remed-111,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_security,ccx-vuln-remed-111,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_org,csb_org_security,ccx-vuln-remed-126,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_org,csb_org_security,ccx-vuln-remed-170,baseline,promotable,v2:extreme_time;v2:high_variance,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_build,tensorrt-mxfp4-quant-feat-001,baseline,unusable,v2:high_variance,high_variance_with_low_nonzero_rate
csb_sdlc,csb_sdlc_build,vscode-stale-diagnostics-feat-001,mcp,promotable,v2:all_zero;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,camel-routing-arch-001,baseline,promotable,infra_failure;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,django-pre-validate-signal-design-001,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,django-rate-limit-design-001,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,envoy-routeconfig-dep-chain-001,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_design,etcd-grpc-api-upgrade-001,baseline,promotable,infra_failure,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,flink-checkpoint-arch-001,baseline,promotable,infra_failure;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,flipt-protobuf-metadata-design-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_design,k8s-crd-lifecycle-arch-001,baseline,promotable,infra_failure;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,k8s-dra-allocation-impact-001,baseline,promotable,infra_failure,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,k8s-scheduler-arch-001,baseline,promotable,infra_failure,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_design,kafka-flink-streaming-arch-001,baseline,promotable,infra_failure;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_document,docgen-changelog-002,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_document,docgen-inline-002,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_document,envoy-arch-doc-gen-001,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_document,istio-arch-doc-gen-001,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_feature,numpy-rolling-median-feat-001,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_feature,servo-css-container-query-feat-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_feature,servo-css-container-query-feat-001,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_feature,vscode-custom-fold-region-feat-001,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_fix,ansible-abc-imports-fix-001,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_fix,ansible-module-respawn-fix-001,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_fix,envoy-dfp-host-leak-fix-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,envoy-udp-proxy-cds-fix-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,navidrome-windows-log-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,navidrome-windows-log-fix-001,mcp,promotable,v2:extreme_time;v2:high_variance,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,nodebb-notif-dropdown-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,nodebb-notif-dropdown-fix-001,mcp,promotable,v2:all_zero;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,nodebb-plugin-validate-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,nodebb-plugin-validate-fix-001,mcp,promotable,v2:all_zero;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,openlibrary-fntocli-adapter-fix-001,baseline,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,openlibrary-fntocli-adapter-fix-001,mcp,promotable,v2:all_perfect;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,openlibrary-search-query-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,openlibrary-search-query-fix-001,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,openlibrary-solr-boolean-fix-001,baseline,unusable,infra_failure;v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,openlibrary-solr-boolean-fix-001,mcp,unusable,v2:extreme_time,no_high_quality_runs
csb_sdlc,csb_sdlc_fix,pytorch-cudnn-version-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,pytorch-cudnn-version-fix-001,mcp,promotable,v2:all_zero;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,pytorch-dynamo-keyerror-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,pytorch-dynamo-keyerror-fix-001,mcp,promotable,v2:all_zero;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,pytorch-release-210-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,pytorch-release-210-fix-001,mcp,promotable,v2:extreme_time;v2:high_variance,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,pytorch-relu-gelu-fusion-fix-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,pytorch-tracer-graph-cleanup-fix-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_fix,pytorch-tracer-graph-cleanup-fix-001,mcp,promotable,v2:all_zero;v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_fix,terraform-plan-null-unknown-fix-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_refactor,envoy-listener-manager-refac-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_refactor,envoy-listener-manager-refac-001,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_refactor,istio-discovery-server-refac-001,baseline,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_refactor,kubernetes-scheduler-profile-refac-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_refactor,numpy-array-dispatch-refac-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_secure,curl-cve-triage-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_secure,django-legacy-dep-vuln-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_secure,django-role-based-access-001,mcp,unusable,v2:high_variance,high_variance_with_low_nonzero_rate
csb_sdlc,csb_sdlc_secure,django-sensitive-file-exclusion-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_secure,flipt-repo-scoped-access-001,mcp,promotable,infra_failure,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,aspnetcore-code-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,calcom-code-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,curl-security-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,envoy-code-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,ghost-code-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,numpy-array-sum-perf-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_test,numpy-array-sum-perf-001,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_test,pandas-groupby-perf-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_test,pandas-groupby-perf-001,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_test,sklearn-kmeans-perf-001,baseline,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_test,sklearn-kmeans-perf-001,mcp,unusable,v2:all_zero,all_zero_reward_pattern
csb_sdlc,csb_sdlc_test,terraform-code-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_test,test-coverage-gap-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_test,test-integration-002,mcp,promotable,infra_failure;v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_test,test-unitgen-go-001,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_test,test-unitgen-py-001,mcp,promotable,v2:all_perfect,all_perfect_consistent_success
csb_sdlc,csb_sdlc_test,vscode-code-review-001,mcp,promotable,v2:extreme_time,has_high_quality_runs_despite_flag
csb_sdlc,csb_sdlc_understand,cilium-project-orient-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_understand,envoy-request-routing-qa-001,baseline,unusable,v2:high_variance,high_variance_with_low_nonzero_rate
csb_sdlc,csb_sdlc_understand,terraform-plan-pipeline-qa-001,baseline,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
csb_sdlc,csb_sdlc_understand,terraform-plan-pipeline-qa-001,mcp,promotable,v2:high_variance,high_variance_but_substantial_nonzero_outcomes
