day,cluster_key,cluster,issue_hits,resolution_hits
2026-02-11,docker_build,Docker build/runtime,41,37
2026-02-11,verifier_oracle,Verifier/oracle quality,15,13
2026-02-11,retrieval_mcp,MCP/retrieval path,30,16
2026-02-11,run_orchestration,Run orchestration,56,36
2026-02-12,daytona_bootstrap,Daytona bootstrap/auth,16,5
2026-02-12,docker_build,Docker build/runtime,19,14
2026-02-12,verifier_oracle,Verifier/oracle quality,1,3
2026-02-12,retrieval_mcp,MCP/retrieval path,32,17
2026-02-12,run_orchestration,Run orchestration,48,15
2026-02-14,daytona_bootstrap,Daytona bootstrap/auth,9,4
2026-02-14,docker_build,Docker build/runtime,18,33
2026-02-14,verifier_oracle,Verifier/oracle quality,32,42
2026-02-14,retrieval_mcp,MCP/retrieval path,42,41
2026-02-14,run_orchestration,Run orchestration,28,42
2026-02-15,daytona_bootstrap,Daytona bootstrap/auth,24,16
2026-02-15,docker_build,Docker build/runtime,80,109
2026-02-15,verifier_oracle,Verifier/oracle quality,126,123
2026-02-15,retrieval_mcp,MCP/retrieval path,144,139
2026-02-15,run_orchestration,Run orchestration,109,102
2026-02-16,daytona_bootstrap,Daytona bootstrap/auth,53,40
2026-02-16,docker_build,Docker build/runtime,130,206
2026-02-16,verifier_oracle,Verifier/oracle quality,204,219
2026-02-16,retrieval_mcp,MCP/retrieval path,202,175
2026-02-16,run_orchestration,Run orchestration,195,175
2026-02-17,daytona_bootstrap,Daytona bootstrap/auth,17,15
2026-02-17,docker_build,Docker build/runtime,35,40
2026-02-17,verifier_oracle,Verifier/oracle quality,51,40
2026-02-17,retrieval_mcp,MCP/retrieval path,46,61
2026-02-17,run_orchestration,Run orchestration,66,71
2026-02-18,daytona_bootstrap,Daytona bootstrap/auth,54,11
2026-02-18,docker_build,Docker build/runtime,79,56
2026-02-18,verifier_oracle,Verifier/oracle quality,86,70
2026-02-18,retrieval_mcp,MCP/retrieval path,108,75
2026-02-18,run_orchestration,Run orchestration,111,76
2026-02-19,daytona_bootstrap,Daytona bootstrap/auth,58,37
2026-02-19,docker_build,Docker build/runtime,123,127
2026-02-19,verifier_oracle,Verifier/oracle quality,139,113
2026-02-19,retrieval_mcp,MCP/retrieval path,114,80
2026-02-19,run_orchestration,Run orchestration,189,104
2026-02-20,daytona_bootstrap,Daytona bootstrap/auth,13,13
2026-02-20,docker_build,Docker build/runtime,106,141
2026-02-20,verifier_oracle,Verifier/oracle quality,189,223
2026-02-20,retrieval_mcp,MCP/retrieval path,192,184
2026-02-20,run_orchestration,Run orchestration,106,85
2026-02-21,daytona_bootstrap,Daytona bootstrap/auth,20,12
2026-02-21,docker_build,Docker build/runtime,155,134
2026-02-21,verifier_oracle,Verifier/oracle quality,128,153
2026-02-21,retrieval_mcp,MCP/retrieval path,202,182
2026-02-21,run_orchestration,Run orchestration,114,73
2026-02-22,daytona_bootstrap,Daytona bootstrap/auth,42,28
2026-02-22,docker_build,Docker build/runtime,142,148
2026-02-22,verifier_oracle,Verifier/oracle quality,131,129
2026-02-22,retrieval_mcp,MCP/retrieval path,168,148
2026-02-22,run_orchestration,Run orchestration,110,82
2026-02-23,daytona_bootstrap,Daytona bootstrap/auth,51,24
2026-02-23,docker_build,Docker build/runtime,164,108
2026-02-23,verifier_oracle,Verifier/oracle quality,169,102
2026-02-23,retrieval_mcp,MCP/retrieval path,231,154
2026-02-23,run_orchestration,Run orchestration,170,72
2026-02-24,daytona_bootstrap,Daytona bootstrap/auth,20,14
2026-02-24,docker_build,Docker build/runtime,71,66
2026-02-24,verifier_oracle,Verifier/oracle quality,74,107
2026-02-24,retrieval_mcp,MCP/retrieval path,106,123
2026-02-24,run_orchestration,Run orchestration,75,92
2026-02-25,daytona_bootstrap,Daytona bootstrap/auth,31,14
2026-02-25,docker_build,Docker build/runtime,45,33
2026-02-25,verifier_oracle,Verifier/oracle quality,86,82
2026-02-25,retrieval_mcp,MCP/retrieval path,157,123
2026-02-25,run_orchestration,Run orchestration,118,92
2026-02-26,daytona_bootstrap,Daytona bootstrap/auth,22,8
2026-02-26,docker_build,Docker build/runtime,60,53
2026-02-26,verifier_oracle,Verifier/oracle quality,88,95
2026-02-26,retrieval_mcp,MCP/retrieval path,131,130
2026-02-26,run_orchestration,Run orchestration,124,137
2026-02-27,daytona_bootstrap,Daytona bootstrap/auth,5,6
2026-02-27,docker_build,Docker build/runtime,41,28
2026-02-27,verifier_oracle,Verifier/oracle quality,50,36
2026-02-27,retrieval_mcp,MCP/retrieval path,81,57
2026-02-27,run_orchestration,Run orchestration,101,88
2026-02-28,daytona_bootstrap,Daytona bootstrap/auth,28,17
2026-02-28,docker_build,Docker build/runtime,76,60
2026-02-28,verifier_oracle,Verifier/oracle quality,102,94
2026-02-28,retrieval_mcp,MCP/retrieval path,140,96
2026-02-28,run_orchestration,Run orchestration,115,85
2026-03-01,daytona_bootstrap,Daytona bootstrap/auth,136,84
2026-03-01,docker_build,Docker build/runtime,164,111
2026-03-01,verifier_oracle,Verifier/oracle quality,178,172
2026-03-01,retrieval_mcp,MCP/retrieval path,299,215
2026-03-01,run_orchestration,Run orchestration,310,254
2026-03-02,daytona_bootstrap,Daytona bootstrap/auth,140,116
2026-03-02,docker_build,Docker build/runtime,95,86
2026-03-02,verifier_oracle,Verifier/oracle quality,202,189
2026-03-02,retrieval_mcp,MCP/retrieval path,414,316
2026-03-02,run_orchestration,Run orchestration,289,248
2026-03-03,daytona_bootstrap,Daytona bootstrap/auth,64,37
2026-03-03,docker_build,Docker build/runtime,65,61
2026-03-03,verifier_oracle,Verifier/oracle quality,137,91
2026-03-03,retrieval_mcp,MCP/retrieval path,182,151
2026-03-03,run_orchestration,Run orchestration,247,186
2026-03-04,daytona_bootstrap,Daytona bootstrap/auth,8,5
2026-03-04,docker_build,Docker build/runtime,22,17
2026-03-04,verifier_oracle,Verifier/oracle quality,28,24
2026-03-04,retrieval_mcp,MCP/retrieval path,24,42
2026-03-04,run_orchestration,Run orchestration,97,74
2026-03-05,daytona_bootstrap,Daytona bootstrap/auth,0,0
2026-03-05,docker_build,Docker build/runtime,1,1
2026-03-05,verifier_oracle,Verifier/oracle quality,1,1
2026-03-05,retrieval_mcp,MCP/retrieval path,1,9
2026-03-05,run_orchestration,Run orchestration,1,4
