day,agent,theme,hits
2026-02-01,external_claude_archive,benchmark_ops,304
2026-02-01,external_claude_archive,infra,246
2026-02-01,external_transcript_memory,agent_design,438
2026-02-01,external_transcript_memory,benchmark_ops,274
2026-02-01,external_transcript_memory,infra,290
2026-02-02,claude,agent_design,173
2026-02-02,claude,benchmark_ops,81
2026-02-02,claude,infra,74
2026-02-02,external_claude_archive,agent_design,1733
2026-02-02,external_claude_archive,benchmark_ops,309
2026-02-02,external_claude_archive,infra,125
2026-02-02,external_transcript_memory,agent_design,144
2026-02-02,external_transcript_memory,benchmark_ops,63
2026-02-02,external_transcript_memory,infra,113
2026-02-03,claude,agent_design,687
2026-02-03,claude,benchmark_ops,272
2026-02-03,claude,infra,247
2026-02-03,external_claude_archive,agent_design,1763
2026-02-03,external_claude_archive,benchmark_ops,261
2026-02-03,external_claude_archive,infra,50
2026-02-03,external_transcript_memory,agent_design,249
2026-02-03,external_transcript_memory,benchmark_ops,104
2026-02-03,external_transcript_memory,infra,113
2026-02-04,claude,agent_design,918
2026-02-04,claude,benchmark_ops,283
2026-02-04,claude,infra,201
2026-02-04,external_claude_archive,agent_design,705
2026-02-04,external_claude_archive,benchmark_ops,76
2026-02-04,external_claude_archive,infra,12
2026-02-04,external_transcript_memory,agent_design,158
2026-02-04,external_transcript_memory,benchmark_ops,83
2026-02-04,external_transcript_memory,infra,54
2026-02-05,claude,agent_design,699
2026-02-05,claude,benchmark_ops,381
2026-02-05,claude,infra,287
2026-02-05,external_claude_archive,agent_design,1285
2026-02-05,external_claude_archive,benchmark_ops,160
2026-02-05,external_claude_archive,infra,110
2026-02-05,external_transcript_memory,agent_design,109
2026-02-05,external_transcript_memory,benchmark_ops,132
2026-02-05,external_transcript_memory,infra,141
2026-02-06,claude,agent_design,1966
2026-02-06,claude,benchmark_ops,632
2026-02-06,claude,infra,623
2026-02-06,external_claude_archive,agent_design,339
2026-02-06,external_claude_archive,benchmark_ops,66
2026-02-06,external_claude_archive,infra,13
2026-02-06,external_transcript_memory,agent_design,342
2026-02-06,external_transcript_memory,benchmark_ops,195
2026-02-06,external_transcript_memory,infra,158
2026-02-07,claude,agent_design,756
2026-02-07,claude,benchmark_ops,267
2026-02-07,claude,infra,148
2026-02-07,external_claude_archive,agent_design,689
2026-02-07,external_claude_archive,benchmark_ops,86
2026-02-07,external_claude_archive,infra,18
2026-02-07,external_transcript_memory,agent_design,138
2026-02-07,external_transcript_memory,benchmark_ops,32
2026-02-07,external_transcript_memory,infra,26
2026-02-08,claude,agent_design,283
2026-02-08,claude,benchmark_ops,175
2026-02-08,claude,infra,99
2026-02-08,external_transcript_memory,agent_design,25
2026-02-08,external_transcript_memory,benchmark_ops,23
2026-02-08,external_transcript_memory,infra,19
2026-02-09,claude,agent_design,30
2026-02-09,claude,benchmark_ops,11
2026-02-09,claude,infra,5
2026-02-10,claude,agent_design,494
2026-02-10,claude,benchmark_ops,153
2026-02-10,claude,infra,104
2026-02-10,external_claude_archive,agent_design,113
2026-02-10,external_claude_archive,benchmark_ops,3
2026-02-10,external_claude_archive,infra,4
2026-02-11,claude,agent_design,152
2026-02-11,claude,benchmark_ops,79
2026-02-11,claude,infra,161
2026-02-11,external_claude_archive,agent_design,309
2026-02-11,external_claude_archive,benchmark_ops,47
2026-02-11,external_claude_archive,infra,43
2026-02-12,claude,agent_design,274
2026-02-12,claude,benchmark_ops,73
2026-02-12,claude,infra,93
2026-02-12,external_claude_archive,agent_design,79
2026-02-12,external_claude_archive,benchmark_ops,6
2026-02-12,external_claude_archive,infra,5
2026-02-14,claude,agent_design,513
2026-02-14,claude,benchmark_ops,131
2026-02-14,claude,infra,108
2026-02-15,claude,agent_design,1492
2026-02-15,claude,benchmark_ops,350
2026-02-15,claude,infra,404
2026-02-16,claude,agent_design,1605
2026-02-16,claude,benchmark_ops,559
2026-02-16,claude,infra,635
2026-02-16,codex,agent_design,73
2026-02-16,codex,benchmark_ops,82
2026-02-16,codex,infra,25
2026-02-16,copilot,agent_design,1
2026-02-17,claude,agent_design,151
2026-02-17,claude,benchmark_ops,63
2026-02-17,claude,infra,76
2026-02-17,codex,agent_design,200
2026-02-17,codex,benchmark_ops,151
2026-02-17,codex,infra,106
2026-02-17,external_codex,agent_design,216
2026-02-17,external_codex,benchmark_ops,27
2026-02-17,external_codex,infra,24
2026-02-18,claude,agent_design,604
2026-02-18,claude,benchmark_ops,309
2026-02-18,claude,infra,289
2026-02-18,codex,agent_design,45
2026-02-18,codex,benchmark_ops,49
2026-02-18,codex,infra,31
2026-02-18,copilot,agent_design,1
2026-02-18,external_codex,agent_design,1
2026-02-19,claude,agent_design,929
2026-02-19,claude,benchmark_ops,463
2026-02-19,claude,infra,454
2026-02-19,external_codex,agent_design,6
2026-02-19,external_codex,benchmark_ops,2
2026-02-19,external_codex,infra,3
2026-02-20,claude,agent_design,1893
2026-02-20,claude,benchmark_ops,1144
2026-02-20,claude,infra,652
2026-02-21,claude,agent_design,1817
2026-02-21,claude,benchmark_ops,1346
2026-02-21,claude,infra,794
2026-02-22,claude,agent_design,1347
2026-02-22,claude,benchmark_ops,993
2026-02-22,claude,infra,834
2026-02-22,codex,agent_design,4
2026-02-22,codex,benchmark_ops,7
2026-02-22,codex,infra,5
2026-02-23,claude,agent_design,1819
2026-02-23,claude,benchmark_ops,724
2026-02-23,claude,infra,664
2026-02-23,codex,agent_design,48
2026-02-23,codex,benchmark_ops,23
2026-02-23,codex,infra,1
2026-02-24,claude,agent_design,703
2026-02-24,claude,benchmark_ops,519
2026-02-24,claude,infra,335
2026-02-24,codex,agent_design,186
2026-02-24,codex,benchmark_ops,106
2026-02-24,codex,infra,46
2026-02-24,external_codex,agent_design,42
2026-02-24,external_codex,benchmark_ops,8
2026-02-24,external_codex,infra,16
2026-02-25,claude,agent_design,721
2026-02-25,claude,benchmark_ops,331
2026-02-25,claude,infra,213
2026-02-25,codex,agent_design,154
2026-02-25,codex,benchmark_ops,115
2026-02-25,codex,infra,20
2026-02-25,external_codex,agent_design,6
2026-02-26,claude,agent_design,864
2026-02-26,claude,benchmark_ops,405
2026-02-26,claude,infra,298
2026-02-26,codex,agent_design,91
2026-02-26,codex,benchmark_ops,32
2026-02-26,codex,infra,8
2026-02-27,claude,agent_design,521
2026-02-27,claude,benchmark_ops,200
2026-02-27,claude,infra,150
2026-02-27,codex,agent_design,136
2026-02-27,codex,benchmark_ops,62
2026-02-27,codex,infra,21
2026-02-28,claude,agent_design,1203
2026-02-28,claude,benchmark_ops,513
2026-02-28,claude,infra,446
2026-02-28,codex,agent_design,6
2026-02-28,codex,benchmark_ops,5
2026-02-28,codex,infra,3
2026-02-28,external_claude_archive,agent_design,780
2026-02-28,external_claude_archive,benchmark_ops,258
2026-02-28,external_claude_archive,infra,983
2026-02-28,external_codex,agent_design,3
2026-02-28,external_codex,benchmark_ops,1
2026-02-28,external_codex,infra,2
2026-02-28,gemini,agent_design,14
2026-02-28,gemini,benchmark_ops,10
2026-02-28,gemini,infra,1
2026-03-01,claude,agent_design,2000
2026-03-01,claude,benchmark_ops,1295
2026-03-01,claude,infra,1251
2026-03-01,external_claude_archive,agent_design,2
2026-03-01,external_claude_archive,infra,1
2026-03-02,claude,agent_design,3839
2026-03-02,claude,benchmark_ops,890
2026-03-02,claude,infra,902
2026-03-03,claude,agent_design,982
2026-03-03,claude,benchmark_ops,326
2026-03-03,claude,infra,467
2026-03-03,codex,agent_design,228
2026-03-03,codex,benchmark_ops,149
2026-03-03,codex,infra,244
2026-03-04,claude,agent_design,41
2026-03-04,claude,benchmark_ops,28
2026-03-04,claude,infra,84
2026-03-04,codex,agent_design,222
2026-03-04,codex,benchmark_ops,109
2026-03-04,codex,infra,42
2026-03-05,codex,agent_design,30
2026-03-05,codex,benchmark_ops,12
2026-03-05,codex,infra,3
2026-03-05,external_codex,agent_design,3
2026-03-05,external_codex,benchmark_ops,1
2026-03-05,external_codex,infra,2
