agent,session_id,error_count,tool_calls,msg_count,retry_mentions,started_at,last_at
claude,bd767ea6-e2e8-48dd-ac53-aed9bf7b8776,25,190,5062,33,2026-03-02T20:17:21.660Z,2026-03-02T22:59:39.064Z
claude,2209b175-6d6b-42c1-ba15-a7e7f91c7fd9,23,225,3486,14,2026-03-02T17:42:15.889Z,2026-03-02T21:32:29.768Z
claude,c8576e02-a7a5-4beb-ac1e-965541f7dc59,22,559,3873,19,2026-02-18T18:39:24.942Z,2026-02-19T12:37:31.492Z
claude,16d2b551-1bf1-466a-a402-3dbc7b33a075,21,347,6884,22,2026-02-23T19:10:21.668Z,2026-02-24T01:05:42.256Z
external_transcript_memory,tm:68536df3-07a3-4f1b-8d37-4e16b95a7d63,21,179,669,0,2026-02-01T16:35:27.468Z,2026-02-01T16:36:08.395Z
external_transcript_memory,tm:1966287e-f2f6-4137-83e2-099f15c072ff:aacfeb8,21,47,207,0,,
claude,8241f122-2ab2-44a5-8127-649d7bb4b252,19,280,3336,50,2026-03-02T00:55:14.222Z,2026-03-02T02:58:38.610Z
claude,68081f1e-e9e4-410a-8136-8596f36e286e,19,327,2829,32,2026-02-04T21:11:44.319Z,2026-02-04T23:50:48.787Z
claude,99f52d2f-1873-4b50-9643-cd7ff86031d7,19,351,7904,21,2026-02-15T20:19:41.931Z,2026-02-16T00:54:40.431Z
claude,f00ae8ec-c258-4fb8-8cee-5878cb4b64c3,18,361,2810,56,2026-02-19T15:37:47.342Z,2026-02-19T23:10:11.357Z
claude,9e491f3c-ef6f-40dc-976f-8790e36b288d,18,369,11113,26,2026-02-06T15:34:01.544Z,2026-02-06T19:03:24.673Z
claude,cb9b46cd-782d-430c-a198-b499a046b678,18,77,179,20,2026-02-16T21:12:09.711Z,2026-02-16T21:16:26.613Z
claude,c267e583-7251-457a-b6f0-53686fc9c2ec,18,144,753,15,2026-02-05T03:11:53.775Z,2026-02-05T13:30:53.810Z
claude,4199babc-4f20-44b5-9974-b8a903c65f73,18,267,7008,14,2026-02-15T13:54:00.753Z,2026-02-15T18:27:06.014Z
claude,e59b4ea1-e82c-4bcd-9c44-3fc76c4e0b60,18,122,726,2,2026-02-16T16:18:48.360Z,2026-02-16T20:12:33.352Z
external_transcript_memory,tm:8922eb5a-4851-4923-b5c1-3ae8eb3dab6b:aef2a25,18,40,194,1,,
external_transcript_memory,tm:20a73aeb-34b5-4940-ac3f-cf18ab01bbf8:aeff894,18,39,102,0,,
claude,a6084f3f-6062-4359-b649-4fcfd028c743,17,306,2627,52,2026-02-28T22:10:58.210Z,2026-03-01T00:58:37.587Z
claude,f86f956f-b54d-4968-99b6-aae2e0e283ec,17,358,17937,31,2026-02-28T18:45:32.690Z,2026-03-01T02:08:30.207Z
claude,599805d4-adce-42f4-adff-3882c12c74e7,17,369,4146,24,2026-03-01T02:04:17.313Z,2026-03-01T03:44:24.192Z
external_transcript_memory,tm:eca8f151-f811-448b-a387-16558c0bf4f6,17,264,1445,2,2026-02-01T22:38:47.860Z,2026-02-01T22:59:58.471Z
external_transcript_memory,tm:1cc9dda7-6c24-4aef-8611-7ed6ce440995,17,372,2182,1,2026-02-01T15:42:37.926Z,2026-02-01T15:45:21.612Z
claude,a8737bec-babf-40be-90a8-a967465e8086,16,927,13402,74,2026-03-01T13:23:31.799Z,2026-03-01T21:22:21.722Z
claude,e7939b00-d984-4767-8a51-b78c2fd092dd,16,269,1983,33,2026-02-14T12:43:35.020Z,2026-02-14T15:47:14.290Z
claude,88e5587d-3863-423f-887e-648b02ca21b2,16,380,10837,20,2026-02-21T03:36:44.478Z,2026-02-21T17:48:37.867Z
claude,5b7b753d-fd82-427f-8ea9-e6c6ff590f68,16,253,1320,19,2026-03-03T13:08:52.948Z,2026-03-03T14:49:04.515Z
claude,739b8c9b-feb2-4aed-be3b-7e89999ac6e9,16,214,1212,2,2026-02-16T00:55:19.990Z,2026-02-16T01:31:44.780Z
claude,4a8ad7ee-09c0-41f8-aa5f-5dc2a7cd2f1e,15,455,4103,56,2026-03-01T00:58:31.599Z,2026-03-01T03:29:15.860Z
claude,5dd32075-631b-4a07-8e39-db2b6ccee096,15,543,12714,44,2026-02-22T02:15:33.737Z,2026-02-22T13:46:20.324Z
claude,b1fc8b71-f0c6-4258-960f-bf2bf94a4de9,15,316,3275,33,2026-02-27T01:50:21.001Z,2026-02-27T17:16:59.461Z
claude,02ac45db-6cd4-4f70-b34e-4ed8c4624566,15,140,1065,12,2026-02-26T23:35:29.739Z,2026-02-27T01:49:56.543Z
claude,8922eb5a-4851-4923-b5c1-3ae8eb3dab6b,15,145,846,9,2026-02-06T20:41:11.249Z,2026-02-06T21:47:30.228Z
claude,abfb51cc-8879-4d02-b152-fb8a0330aa3c,15,183,1065,5,2026-02-21T21:38:49.934Z,2026-02-21T22:38:23.996Z
claude,7f3c303f-02e4-4b4f-9701-959dbd1b86df,15,102,518,2,2026-03-03T13:09:10.190Z,2026-03-03T13:41:17.013Z
external_transcript_memory,tm:1966287e-f2f6-4137-83e2-099f15c072ff:aaa9594,15,15,52,2,,
external_transcript_memory,tm:a6b19987-78b5-4ead-ae1c-1e610cd58b61,15,204,4041,1,,
external_transcript_memory,tm:713d7128-4a28-47b0-ab6c-ca61fcd3c9f8:a770178,15,50,143,0,,
claude,ad53f78f-b894-43a9-a60a-67e06d2dfb35,14,385,3372,22,2026-02-24T18:05:29.978Z,2026-02-25T13:41:40.768Z
claude,23a8dca2-2d6d-43f4-8f0a-80b21b67de6b,14,113,1427,20,2026-02-07T02:39:47.808Z,2026-02-07T12:36:53.327Z
claude,c232b97e-1626-47be-8427-8a54b0ecee40,14,87,547,17,2026-02-03T19:23:06.377Z,2026-02-03T20:49:26.707Z
claude,2e7a147b-71b5-43a7-8537-454ab5573918,14,51,471,15,2026-02-19T19:52:46.021Z,2026-02-19T20:38:13.532Z
claude,d816b552-c760-4243-a283-ea964f7c0e4a,14,190,2385,13,2026-02-14T20:47:14.264Z,2026-02-15T13:05:19.748Z
claude,f09a8d1c-5bcf-4a12-8a80-0e3de1199576,14,140,709,11,2026-03-02T21:17:29.868Z,2026-03-02T21:40:18.659Z
claude,867b6c61-b9ad-495b-8dab-5cea01a03a6a,14,179,990,10,2026-02-06T12:40:30.484Z,2026-02-06T13:17:22.027Z
claude,358f71fe-03bd-4069-a51e-04a0c53ffa88,14,155,4029,6,2026-03-02T19:00:14.707Z,2026-03-02T21:15:49.495Z
claude,63b4e8bb-dcae-45bd-9504-13ac148c61fe,14,142,1015,3,2026-03-02T19:44:45.982Z,2026-03-02T22:08:57.302Z
external_transcript_memory,tm:63b0b738-e754-406c-917b-c0e80f5ebce2,14,151,973,2,2026-02-01T16:52:44.112Z,2026-02-01T17:07:29.935Z
external_transcript_memory,tm:b53ace38-5dda-4811-aa32-998cd416a278:adc174e,14,36,89,1,,
external_transcript_memory,tm:e3c78139-d7ad-4566-b506-c093c0152f8e:ae2ca27,14,79,343,0,,
claude,56e86ade-1011-4d3b-a81f-7b2f89eee39a,13,137,792,17,2026-02-20T13:17:40.368Z,2026-02-20T17:11:31.509Z
claude,091c32e9-a268-4288-b09e-77d25136c956,13,92,527,9,2026-03-02T03:24:38.664Z,2026-03-02T03:56:09.087Z
claude,130b2e3c-372b-4ffe-96a3-398605836088,13,134,810,4,2026-03-03T00:21:34.570Z,2026-03-03T00:47:55.571Z
claude,81c1ddff-af74-4539-a877-43e9c0a0c29c,13,78,212,2,2026-02-06T03:46:08.249Z,2026-02-06T03:52:16.846Z
claude,5c5a26a1-4aa7-4f44-a19c-ba7b9a3c8673,13,92,237,0,2026-02-06T03:44:24.581Z,2026-02-06T03:51:12.769Z
external_transcript_memory,tm:b26930a6-becb-411e-b316-6d03cfd1d821:acc2461,13,15,35,0,,
external_transcript_memory,tm:e951e143-4407-4b67-aa17-e1a77ce8e14d:a839e98,13,50,118,0,,
claude,7fa289fd-0f4b-4a7f-8e22-78e4e7fcefad,12,314,1919,27,2026-02-22T19:49:26.397Z,2026-02-22T21:09:36.938Z
claude,62a41c38-ee1d-45dc-84a2-ee679837e657,12,84,463,22,2026-02-10T16:12:36.014Z,2026-02-10T16:34:17.738Z
claude,453f5c63-0f5a-4c4c-a4d6-5e20cd27ed97,12,120,1355,21,2026-03-04T00:51:47.791Z,2026-03-04T03:16:19.988Z
claude,0661aba9-e1cb-4569-8a9c-e132d2c00f2a,12,213,1696,17,2026-03-01T02:10:40.689Z,2026-03-01T03:33:10.329Z
claude,cb9dfc96-eb98-46af-a880-4213eba2017b,12,176,1054,16,2026-02-09T22:32:26.487Z,2026-02-10T11:38:44.715Z
claude,c39e8cbd-0e0b-44c1-9aad-24af7cca3268,12,99,1823,15,2026-02-23T23:24:55.053Z,2026-02-24T03:55:31.281Z
claude,ce09954a-5492-45d5-b4b5-bfce5e6a4f81,12,137,999,14,2026-02-19T23:02:11.863Z,2026-02-20T12:45:12.496Z
claude,a3f72645-5d99-4314-b2d6-e6929258849a,12,223,1447,10,2026-02-04T14:30:27.707Z,2026-02-04T16:05:48.356Z
claude,17374043-1efe-4e55-b739-b083c54f1651,12,103,594,6,2026-03-02T18:05:18.219Z,2026-03-02T19:51:24.256Z
claude,77ac540d-357e-42df-822b-d7bdb1b664f4,12,80,213,5,2026-02-06T03:43:06.713Z,2026-02-06T03:48:47.265Z
claude,4ea0c589-527a-4fd5-9424-be8dd993ed63,12,58,146,3,2026-02-06T21:15:11.491Z,2026-02-06T21:18:35.643Z
external_transcript_memory,tm:b53ace38-5dda-4811-aa32-998cd416a278:ae6f29f,12,43,112,1,,
external_transcript_memory,tm:20a73aeb-34b5-4940-ac3f-cf18ab01bbf8:a1f4764,12,76,171,0,,
external_transcript_memory,tm:7da49b8f-fac8-4668-a4c9-0966a07a1ced:a69de8b,12,19,59,0,,
claude,74d2b631-402a-4ca9-acf0-75480f824bc8,11,387,3576,62,2026-02-16T19:35:01.291Z,2026-02-17T01:31:01.784Z
claude,c792792f-a2c6-4fce-afe3-efa634989cbc,11,89,501,14,2026-02-10T22:57:07.029Z,2026-02-11T09:59:25.145Z
claude,c38ce126-a989-4aee-9af4-f3fc0b0ab466,11,175,1754,10,2026-02-27T03:02:54.851Z,2026-02-27T13:22:11.135Z
claude,4fada749-3bb3-4266-a7e2-6ed967ef0b0f,11,118,1082,8,2026-02-15T13:19:46.059Z,2026-02-15T18:29:28.727Z
claude,660c8392-b5e3-479f-b6c8-59765c864f02,11,118,1525,8,2026-02-21T15:42:48.841Z,2026-02-21T17:45:30.426Z
claude,78b6e1d4-fb73-4629-a061-32ec90366bdc,11,236,3754,8,2026-02-15T21:27:36.928Z,2026-02-16T01:56:05.588Z
claude,86f0d154-08c6-4bc8-9ea6-f0f0d3756b2e,11,191,2405,8,2026-02-27T17:18:40.258Z,2026-02-28T16:58:43.487Z
claude,5f3a0fa5-6f4c-4a74-8a68-f454956eeee9,11,141,1820,7,2026-02-20T17:11:55.489Z,2026-02-20T18:02:42.037Z
claude,47eb341a-cdf4-4095-997a-e09370fd8686,11,49,483,6,2026-02-27T17:46:44.738Z,2026-02-28T00:53:26.947Z
external_transcript_memory,tm:d6eb38f1-00bb-4500-a6c9-1431abc09ca6:a1eae36,11,34,147,0,,
claude,cc3c9af4-3397-4c2a-8702-6f2a2a362795,10,266,1805,20,2026-02-23T14:42:54.294Z,2026-02-23T15:54:05.803Z
claude,9d68c842-fb31-47fd-acdc-e4586815d353,10,201,1465,11,2026-03-02T02:26:26.678Z,2026-03-02T03:19:59.488Z
claude,ac0f056f-4b1f-43a4-9b64-0f8c4dacc8d3,10,97,780,9,2026-02-26T13:54:37.568Z,2026-02-26T14:58:44.833Z
claude,c78585ed-31a6-457f-a433-7b3e28fdd0e6,10,114,420,6,2026-02-03T16:51:11.338Z,2026-02-03T17:17:28.247Z
claude,73f0e5c1-048c-4fac-9481-a90436a892bf,10,121,1031,3,2026-02-03T20:50:25.276Z,2026-02-03T22:06:29.732Z
claude,b3df38f3-6298-49f8-bfe1-69fccb77e1c1,10,108,533,3,2026-02-20T19:26:24.046Z,2026-02-20T19:47:27.312Z
external_transcript_memory,tm:485bd2a3-2d85-4ef1-a627-6d21348924c8:afb3866,10,93,442,1,,
external_transcript_memory,tm:5cf67b9e-3767-4c54-8549-f8ea4e2ffcfc:ae203f9,10,45,199,1,,
external_transcript_memory,tm:63b0b738-e754-406c-917b-c0e80f5ebce2:a52d3ff,10,58,164,1,,
claude,c1200d36-4bae-482b-9c35-60338c61abb8,9,149,5641,26,2026-03-03T00:22:36.508Z,2026-03-03T02:32:15.903Z
claude,e3320f85-50bf-4d64-9511-06ce157c2c10,9,165,940,22,2026-02-06T01:28:42.474Z,2026-02-06T13:01:06.699Z
claude,0e80860a-5ab4-4925-a6c4-5de07776768a,9,75,4734,19,2026-03-04T03:16:34.648Z,2026-03-04T15:04:28.234Z
claude,d15245ca-b8de-4d82-b582-6785e169d3f0,9,248,2303,17,2026-02-28T17:26:48.823Z,2026-02-28T18:59:09.269Z
claude,b31d84f1-9b05-4dc3-97d2-eb534b111746,9,153,828,14,2026-02-03T14:15:56.214Z,2026-02-03T16:04:11.922Z
external_transcript_memory,tm:49a7cb50-4f7a-4071-afbf-ead602c67d16:a05cea0,9,55,235,1,,
external_transcript_memory,tm:d6eb38f1-00bb-4500-a6c9-1431abc09ca6:a418a10,9,43,182,1,,
claude,d575b863-63a1-4c89-a3aa-c78737e1d8a1,9,77,193,0,2026-02-06T03:04:36.754Z,2026-02-06T03:09:43.983Z
external_transcript_memory,tm:e951e143-4407-4b67-aa17-e1a77ce8e14d,9,120,1093,0,2026-01-31T21:09:25.653Z,2026-02-01T02:29:33.836Z
external_transcript_memory,tm:1cc9dda7-6c24-4aef-8611-7ed6ce440995:ae1c929,9,43,109,0,,
external_transcript_memory,tm:1ef003fc-1cb2-46bb-b9ed-c3fd262f5020:aabed99,9,54,250,0,,
claude,624fc9fa-2dd4-4ae1-b63c-5a5f7aa6f4b4,8,392,3075,25,2026-02-28T19:40:21.528Z,2026-03-01T00:50:42.000Z
claude,507bf381-9126-4e80-b47c-093e4a5940f6,8,213,1795,20,2026-02-08T03:34:56.280Z,2026-02-08T13:35:28.712Z
claude,4ebd131a-fe15-4801-a7cd-7bcaadc3da5e,8,167,2138,18,2026-02-26T20:58:16.063Z,2026-02-26T23:12:55.429Z
claude,90d060f5-3f8b-4d07-9745-acfe0b2133ad,8,165,935,17,2026-03-01T04:23:49.896Z,2026-03-01T12:52:58.371Z
claude,97589060-7bd2-4602-bd9c-2c4c853db6b1,8,88,222,16,2026-02-16T21:02:01.092Z,2026-02-16T21:12:04.877Z
claude,d3db1d1d-f203-4e93-a1f5-4a23627e6b02,8,89,2701,15,2026-02-23T19:26:18.730Z,2026-02-23T21:56:24.249Z
claude,a64d9b85-fd3c-4314-8183-1b076e45153b,8,99,656,14,2026-02-08T22:17:15.284Z,2026-02-09T22:31:30.713Z
claude,a37cbfca-d440-47a1-b509-39e34222e70d,8,123,591,12,2026-02-07T19:00:27.971Z,2026-02-07T19:28:16.682Z
claude,016c9da0-d9a4-436a-bfb2-527b773c6240,8,168,1692,11,2026-02-22T00:19:29.616Z,2026-02-22T02:14:09.867Z
claude,3ab8c128-d94e-434f-830a-d1ef05262431,8,299,7138,10,2026-02-23T19:21:54.491Z,2026-02-24T03:54:01.559Z
claude,4451a832-9555-467a-96b4-04fd8cc5b232,8,76,182,9,2026-02-16T20:38:52.286Z,2026-02-16T20:45:37.245Z
claude,f4bdc027-06ea-4533-80b5-cde71223c974,8,54,501,0,2026-02-06T02:35:18.078Z,2026-02-06T03:42:00.093Z
external_transcript_memory,tm:669e673e-f4ca-41f5-9ac4-a4dc14fa96be:a43013b,8,50,133,0,,
external_transcript_memory,tm:eca8f151-f811-448b-a387-16558c0bf4f6:ab74145,8,51,139,0,,
external_transcript_memory,tm:f4bdc027-06ea-4533-80b5-cde71223c974:a3657c3,8,58,246,0,,
external_transcript_memory,tm:fb76a51b-4af6-4896-b0e4-2a1fc0963fbc:a4a3c32,8,93,214,0,,
claude,2e23eb57-1bcf-4f7d-871d-6ac5b7462cf4,7,117,859,35,2026-02-10T10:57:16.263Z,2026-02-10T17:58:38.333Z
claude,8dee779c-7442-4484-bdf2-810fb65867f0,7,111,8825,31,2026-03-03T17:33:05.928Z,2026-03-03T20:35:18.394Z
claude,0cd34fd6-b7ec-4f95-bcf4-da0839f109b2,7,117,2320,23,2026-02-25T15:36:54.029Z,2026-02-25T20:20:07.156Z
claude,09f60ac2-efc6-4ba7-bf7a-024210095436,7,245,8489,21,2026-02-07T15:39:23.264Z,2026-02-07T19:03:22.864Z
claude,d70b05a3-a241-47f6-8164-0faf24e7e42d,7,71,497,14,2026-03-02T17:39:19.748Z,2026-03-02T18:31:59.863Z
claude,63d63e7b-f435-40ab-939e-7b8765f4e82f,7,155,1168,6,2026-02-05T02:34:35.950Z,2026-02-05T03:04:35.330Z
claude,a6fb3a05-126f-435d-9071-df8be8ce1447,7,124,1505,6,2026-02-23T22:31:29.982Z,2026-02-24T01:57:12.994Z
claude,73d6445c-e7c2-45ce-9705-d467f6ca5311,7,49,133,5,2026-02-06T03:12:14.991Z,2026-02-06T03:15:31.818Z
claude,3e53f121-bd50-4578-a189-6a45504cbfe7,7,42,206,4,2026-02-25T13:13:02.180Z,2026-02-25T13:17:37.289Z
claude,2861e309-e1cf-4350-a1eb-b642deac3830,7,167,1856,3,2026-02-22T22:51:56.815Z,2026-02-23T01:11:41.951Z
claude,acea7de7-c886-4630-bb51-39e326ead699,7,40,310,2,2026-02-10T11:40:03.924Z,2026-02-10T12:11:11.337Z
claude,ddbb2f2c-c7dd-4495-8358-ff8eb49a9d53,7,140,354,2,2026-02-06T03:00:59.265Z,2026-02-06T03:12:11.195Z
external_transcript_memory,tm:867b6c61-b9ad-495b-8dab-5cea01a03a6a:a08456c,7,13,52,2,,
claude,840b3908-33b9-495d-bcce-c9fce95df6ca,7,55,153,1,2026-02-16T00:52:55.473Z,2026-02-16T01:01:29.270Z
external_transcript_memory,tm:064019d2-d603-4a4d-9e02-e9683d792a13:ab68caa,7,52,142,1,,
external_transcript_memory,tm:2339dd08-95d0-43d8-aa1f-043bc72bf14d:ac4353b,7,60,169,1,,
external_transcript_memory,tm:7161445a-7f34-4059-bdc8-6d7f718edc75:ae058eb,7,16,63,1,,
claude,c4baa7f1-07b5-41f0-b49c-3ea461841dc3,7,81,428,0,2026-02-15T14:50:56.375Z,2026-02-15T15:06:26.703Z
external_transcript_memory,tm:b53ace38-5dda-4811-aa32-998cd416a278,7,219,2079,0,2026-02-01T03:46:33.776Z,2026-02-01T13:19:38.577Z
external_transcript_memory,tm:485bd2a3-2d85-4ef1-a627-6d21348924c8:a77bbc1,7,52,240,0,,
external_transcript_memory,tm:4c4d7565-954c-449c-a046-bbebb083907a:a9c6b41,7,49,206,0,,
external_transcript_memory,tm:815bf209-969a-4bb3-b2d0-bbabb6fbd8d2:aa253c8,7,37,98,0,,
external_transcript_memory,tm:b53ace38-5dda-4811-aa32-998cd416a278:ab582c9,7,45,123,0,,
external_transcript_memory,tm:070fa26b-5343-4184-a57a-8b7f571bc011,7,151,596,0,,
claude,4bdf04ae-42ff-4709-b378-92001a5b5d05,6,145,16478,73,2026-02-25T20:27:16.358Z,2026-02-26T03:40:41.041Z
claude,0fe43cce-2776-4507-b3f5-914bad6bbc6e,6,154,2989,31,2026-03-02T18:33:22.827Z,2026-03-02T20:16:49.503Z
claude,792d34f7-256d-4bc9-93c0-bdd9e6d73c49,6,214,4130,25,2026-02-15T18:28:16.117Z,2026-02-15T20:19:29.505Z
claude,0a1ab84b-bbf9-45aa-b007-e5dbe9c8a164,6,222,1574,19,2026-02-28T21:36:05.665Z,2026-02-28T23:15:57.483Z
claude,aaf3eab1-e470-433e-8029-867ef6db4ae1,6,157,9196,18,2026-02-14T15:51:31.961Z,2026-02-14T20:46:34.123Z
claude,5d23620b-3c83-486f-9b03-2e13d707ceef,6,162,1032,17,2026-02-10T17:26:56.154Z,2026-02-10T19:08:28.116Z
claude,77078fe9-2a01-4a72-8f3f-f1daedacc5a7,6,232,2717,14,2026-02-21T01:54:27.242Z,2026-02-21T03:36:31.563Z
claude,c227748e-138d-4bd0-ad2f-601c7fd73257,6,163,13061,11,2026-03-01T22:40:07.485Z,2026-03-02T03:51:59.196Z
claude,210e8e7c-1b6d-45f5-9fd1-d17e7ca0f16d,6,141,1153,10,2026-02-12T10:15:24.872Z,2026-02-12T12:31:57.000Z
claude,82de5667-f90d-4696-bbec-b6c8b037f62a,6,172,1994,9,2026-02-21T17:53:33.882Z,2026-02-21T19:26:19.091Z
claude,b60d1a2f-f7c9-4906-a95c-c2a0cf4f84b8,6,168,1139,8,2026-02-15T20:27:19.082Z,2026-02-15T21:10:59.980Z
claude,863a5a75-b08b-4227-b043-07b9b19d7710,6,74,179,7,2026-02-06T03:24:40.899Z,2026-02-06T03:28:30.831Z
claude,a405e61a-ad71-4cd1-b9a4-b44d38cbd679,6,134,1275,5,2026-02-21T13:36:00.890Z,2026-02-21T15:41:45.627Z
claude,ba21b265-f300-4981-8b4c-b2ae9df48fb7,6,72,527,5,2026-02-06T18:33:50.124Z,2026-02-06T21:03:39.121Z
claude,22a55e99-0262-4c3e-981f-6e4984c6032a,6,54,138,4,2026-02-06T03:42:37.305Z,2026-02-06T03:46:04.839Z
claude,83e1dbe2-c602-4efc-8579-adef0252882e,6,68,1031,4,2026-03-01T20:17:23.885Z,2026-03-01T21:06:06.803Z
claude,890e55c8-38b1-4c54-80f9-f288e043ca67,6,74,576,4,2026-02-10T19:08:58.413Z,2026-02-10T22:01:38.129Z
claude,892b9b61-5db5-4fa5-84bf-9cb973b5b0ea,6,126,806,3,2026-03-03T02:04:07.163Z,2026-03-03T03:21:23.241Z
claude,1f08930c-db7c-43e9-a652-b92781871158,6,72,194,2,2026-02-06T03:32:41.522Z,2026-02-06T03:42:21.742Z
claude,e298ad4d-b603-412b-bb5b-5d04229bf6ee,6,81,724,2,2026-03-03T04:11:05.849Z,2026-03-03T13:00:41.286Z
claude,f8f49ff9-3677-4f7c-86e8-464999a6d5c9,6,115,1236,2,2026-02-24T03:18:05.641Z,2026-02-24T03:55:41.749Z
claude,4edddea1-7fd0-4519-889f-7b85eb812dab,6,69,170,1,2026-02-06T02:06:06.150Z,2026-02-06T02:14:03.774Z
external_transcript_memory,tm:d54f3bc0-eb36-4d02-abf0-e1059fd7fb05,6,120,493,1,2026-02-01T02:13:55.309Z,2026-02-01T02:37:53.825Z
external_transcript_memory,tm:4c4d7565-954c-449c-a046-bbebb083907a:a6b6750,6,97,477,1,,
external_transcript_memory,tm:532837ff-8df8-4586-844f-6b61f7dd99e3:aa0b385,6,15,60,1,,
external_transcript_memory,tm:5c5ea62b-20bf-497a-a92e-35e95d4745e1:afec4d6,6,54,162,1,,
external_transcript_memory,tm:a3f72645-5d99-4314-b2d6-e6929258849a:ade8813,6,31,189,1,,
claude,979ad6b9-fd84-4a2d-b670-0c88a36f5494,6,14,38,0,2026-03-02T04:04:09.927Z,2026-03-02T04:10:16.005Z
claude,af8fb9e4-47d1-4afd-8423-21514120ebff,6,57,1392,0,2026-02-21T22:38:48.789Z,2026-02-21T23:28:24.202Z
external_transcript_memory,tm:09f60ac2-efc6-4ba7-bf7a-024210095436:a1522e3,6,27,125,0,,
external_transcript_memory,tm:20a73aeb-34b5-4940-ac3f-cf18ab01bbf8:adb0ef0,6,18,45,0,,
external_transcript_memory,tm:214809e7-4b73-49e4-843a-273be7d8e2c5:a0b6ede,6,47,200,0,,
external_transcript_memory,tm:68081f1e-e9e4-410a-8136-8596f36e286e:a733d77,6,54,231,0,,
external_transcript_memory,tm:afcfd85a-6be3-4f67-89d9-debc72880bfd:a2a2ad0,6,75,332,0,,
claude,5e2cd576-f722-4c8e-b5c1-e3d71c8d445d,5,249,2931,32,2026-02-22T13:32:10.522Z,2026-02-22T19:48:58.359Z
claude,75ca3b10-2a17-4627-b627-aa4011f797ef,5,76,207,26,2026-02-06T03:03:17.894Z,2026-02-06T03:09:43.701Z
claude,afcfd85a-6be3-4f67-89d9-debc72880bfd,5,212,1986,24,2026-02-06T17:40:24.207Z,2026-02-06T20:56:53.422Z
claude,65a6917f-306a-4160-b624-a4f2914da7a2,5,212,1452,23,2026-02-16T16:10:50.891Z,2026-02-16T19:00:21.495Z
claude,9dd12e4a-05e9-452d-abe3-950d5d333bb9,5,157,761,23,2026-02-19T15:02:16.019Z,2026-02-19T17:23:14.913Z
claude,0b955363-ddf9-4dfc-ae2e-f88d6dad379a,5,86,3182,18,2026-03-03T20:36:30.037Z,2026-03-03T21:36:49.736Z
claude,9d34efe3-deed-4710-9309-29eae7ed0572,5,170,2102,18,2026-02-21T20:35:04.819Z,2026-02-21T21:45:48.462Z
claude,e8774718-a8d2-42b5-8dde-01fae38bf4b1,5,76,186,18,2026-02-06T21:22:05.733Z,2026-02-06T21:31:12.465Z
claude,fb531ba7-7063-4f58-88ba-8b9a1b6301d5,5,75,2508,18,2026-03-03T21:38:01.871Z,2026-03-03T23:17:05.841Z
claude,1ea34a5c-7e79-44a6-a8de-76dd60cba477,5,105,1285,17,2026-02-18T12:58:19.016Z,2026-02-18T15:28:59.843Z
claude,ac4e22f8-307d-4dba-bedf-1e228323adc6,5,127,1149,17,2026-03-02T21:45:58.913Z,2026-03-02T23:11:50.401Z
claude,b238ac36-4445-45b6-8ac9-acc0e8f6aee8,5,112,786,16,2026-02-18T17:46:07.230Z,2026-02-18T18:05:27.756Z
claude,2c849780-e98d-4537-a5bc-8b4598f47e2c,5,76,539,15,2026-02-23T17:57:08.080Z,2026-02-23T19:01:01.251Z
